ID	logFC	AveExpr	t	P.Value	adj.P.Val	B
1688	CREB5	-1.8316516281006	5.44115636583972	-45.8717423303648	7.84060060696143e-236	3.58634879614717e-234	529.590413402746
4717	UHRF1BP1L	-1.46610372269657	4.60092177106022	-45.8357206435193	1.27787528542132e-235	5.79147147704708e-234	529.102292388019
2039	EZH1	-1.06898561811525	4.86118826358469	-45.7923379255679	2.30180675284107e-235	1.03372048718499e-233	528.514214839833
2507	HSPA5	2.46589468037963	11.070856749476	45.78858607541	2.42201465283958e-235	1.07790562027275e-233	528.463345639827
633	217126_at	-0.894279763671421	4.64841249422051	-45.765431696785	3.31612672091547e-235	1.46264875011807e-233	528.149370830335
1098	ARPP-21	-1.96727377262468	4.97913808509169	-45.7527168416318	3.94071313201294e-235	1.72275423647291e-233	527.976928958681
3664	PPP1R3A	-1.76400416038169	5.23509979006012	-45.7399784131766	4.68452962383939e-235	2.02173589707298e-233	527.80414772932
321	215234_at	-2.0201910747822	5.80671577218728	-45.7396341797248	4.7064702057367e-235	2.02173589707298e-233	527.799478349918
3974	RPL8	2.95761260123701	12.3874423731633	45.7379079934801	4.81805347509464e-235	2.0518262212903e-233	527.776063155945
2056	FAM128B	3.05030090007802	10.0711795583941	45.703191593786	7.71910162447587e-235	3.25917624144537e-233	527.305069051235
1929	DYNLL1	2.89679126938971	10.9103941288797	45.6909225348304	9.11848801889342e-235	3.81740091638419e-233	527.1385809736
1919	DSTN	3.04453726101448	10.9741025075592	45.642162875083	1.76830937780011e-234	7.34071287927105e-233	526.476744358485
1145	ATP5J2	2.80454758491329	11.0390042315877	45.6396287868037	1.8302497725271e-234	7.53452823023657e-233	526.442340180427
2526	HTR2C	-2.05580028802343	4.72445427609265	-45.607471682028	2.83321227074565e-234	1.15669988574244e-232	526.005690122911
749	220851_at	-2.53513971416258	5.58857374751927	-45.5481810543079	6.34326884721824e-234	2.56850394305394e-232	525.200275576069
1909	DRD1	-1.62685113094251	5.52323024390751	-45.5242502599341	8.78305312976991e-234	3.52750263911084e-232	524.875074993368
3997	RPS9	3.3008099566205	11.7311282910341	45.5200301175404	9.30191303460663e-234	3.70576212830296e-232	524.817719416236
3959	RPL23A	2.37288270557958	13.5432060411642	45.507077010662	1.10939739730702e-233	4.38433851415733e-232	524.641661465128
4355	STAMBPL1	-1.3436854694759	4.80447724419949	-45.4954959694944	1.29868722020262e-233	5.09167846650867e-232	524.484235399839
1117	ASTN1	-1.54976959738679	4.97152514828425	-45.4738440890167	1.74355808343128e-233	6.78202908043347e-232	524.189868645371
4395	TAAR3	-2.12525131509934	5.64106304019971	-45.4382013054845	2.83196627881569e-233	1.09296198573043e-231	523.705166203886
2551	IFNA5	-2.10153843956989	4.93727879239822	-45.4191244721381	3.67164745603786e-233	1.39983759291832e-231	523.445679383301
476	216201_at	-2.10085607059482	5.41454671612957	-45.4188820706612	3.68378313925873e-233	1.39983759291832e-231	523.442381908502
3743	PSG3	-1.40615742378624	4.80148636737788	-45.4095864997369	4.18072820455331e-233	1.57654941454148e-231	523.315925554278
469	216158_at	-1.63350366738581	4.90999148507917	-45.3244889069363	1.33223674639523e-232	4.98579509635789e-231	522.157779114226
3980	RPS14	2.80633226884533	12.7529382071407	45.2711883153034	2.75443673211223e-232	1.02307650049883e-230	521.431933643266
2055	FAM128A	3.43537643678077	9.99405555600029	45.2560259644733	3.38684986004192e-232	1.24858494840351e-230	521.225390837035
3510	PDLIM5	-1.10844013283846	4.68698772319622	-45.2145721318284	5.9603174242574e-232	2.18103467228382e-230	520.660562100612
3654	PPIB	3.55448181914922	10.4372971696338	45.1375587135276	1.70431805515475e-231	6.19068470034152e-230	519.610668212384
3469	PCBP2	2.72914166716268	11.3414864297869	45.1199641219625	2.16688889498923e-231	7.81345338777139e-230	519.370708024863
4053	SCN11A	-1.59180903750773	5.30960883260763	-45.1064708417232	2.60510015347799e-231	9.32550344795744e-230	519.186657539741
2191	GABRA6	-1.61492920671059	5.1787224096246	-45.0609993836064	4.84671738564675e-231	1.72250243777661e-229	518.566258743322
1080	ARHGAP24	-1.7211105455416	5.94139494315167	-45.052142386809	5.46988033976475e-231	1.93008634845985e-229	518.445387699696
2008	EPOR	-1.72468474648064	4.7964792419582	-44.9877093971391	1.31900792951604e-230	4.62120508638955e-229	517.565790467555
4338	SSR4	2.75051550336457	11.3414528213384	44.9675953929304	1.73629866858643e-230	6.04036297381475e-229	517.291105289557
518	216478_at	-1.84003135963711	4.88445694761193	-44.9577050630912	1.98761125557832e-230	6.86629342836149e-229	517.156021076326
2221	GC	-1.68819940428549	4.96121005771216	-44.9562960535245	2.02626134323188e-230	6.95120210803159e-229	517.136775572974
520	216487_at	-1.65257911023928	5.53927444681549	-44.9544806890123	2.07716876522147e-230	7.07669910358212e-229	517.111979362663
92	ELK4	-1.79048417227289	4.93334273113241	-44.8923884817156	4.85472983075172e-230	1.63145342611656e-228	516.26361942579
1980	ELK4	-1.79048417227289	4.93334273113241	-44.8923884817156	4.85472983075172e-230	1.63145342611656e-228	516.26361942579
745	220787_at	-1.73635720139819	4.91661455443107	-44.8712969929337	6.47811053673465e-230	2.16228824672089e-228	515.975343473169
1041	ANXA10	-2.08904194160177	5.64445868064074	-44.8452216855644	9.25480705546068e-230	3.06837227207891e-228	515.618875763593
4006	RRP8	-1.17405990153681	5.34060048954889	-44.717278359504	5.3335516927291e-229	1.75651635747212e-227	513.868624165659
4424	TAS2R8	-1.97222358632621	5.29809714593015	-44.7075018026609	6.09782511251699e-229	1.99491761959165e-227	513.734801543316
2533	HYAL2	1.89576404498733	8.43673891560402	44.658336695377	1.19597363829245e-228	3.88691432445046e-227	513.061651270409
1406	CAPZB	2.94368261648196	10.1540382365782	44.6330270578998	1.69188163078199e-228	5.4626766379497e-227	512.715008903601
1787	CYP7A1	-0.916024189876914	4.41723096913824	-44.567794438555	4.13809912191174e-228	1.32741621183403e-226	511.821227404168
3004	MCF2	-1.57554926603663	5.01718761511727	-44.5584353446024	4.70487501839528e-228	1.49948919941114e-226	511.692952722216
681	217470_at	-2.2290321596903	5.13512752468428	-44.5200194190857	7.96927596584403e-228	2.52360405585061e-226	511.166319317223
2474	HNRNPU	2.33157235532333	11.3877662726196	44.5087234675979	9.30531947284319e-228	2.92791580865257e-226	511.011432848716
3513	PDPN	-1.54681211922522	5.13298464805757	-44.4906291974529	1.19280237413086e-227	3.72939476468764e-226	510.763298430898
4163	SLC10A2	-1.96861848309668	6.44927343792615	-44.488640525322	1.22580531144929e-227	3.80847687959717e-226	510.736024553303
1105	ASB4	-1.62363356300576	5.26650234301218	-44.4223458849827	3.04558921994812e-227	9.40325671658983e-226	509.826550285719
1419	CBLB	-1.27945156846806	4.90633051121988	-44.3994093165275	4.17322882761736e-227	1.28048139182793e-225	509.51176969724
3793	PTPN22	-0.937622836941684	4.61039187971968	-44.3778245931324	5.61351572933501e-227	1.71177578413055e-225	509.215484824835
4325	SPTLC2	-1.60717913438382	5.66349248846989	-44.3103205662541	1.41932481400639e-226	4.30151201300096e-225	508.288527861481
714	217756_x_at	2.23245653395694	11.57453645989	44.2990659533796	1.65679666971765e-226	4.99059484658853e-225	508.133928445359
1150	ATP6V0B	3.15923725711687	10.481238365647	44.2835610751661	2.05040837744931e-226	6.13879841490883e-225	507.92092055744
3720	PRO2964	-1.60589861436489	5.1812735245777	-44.2671050698711	2.57100943493237e-226	7.65107627022044e-225	507.69481487056
4663	TUBB3	2.78651195172603	9.661396112317	44.258984030786	2.87476090690834e-226	8.50378376055521e-225	507.583219908513
1549	CFHR5	-1.70684010099193	4.74534260228603	-44.2359507207842	3.94614302796355e-226	1.16035396179404e-224	507.2666661124
2400	HAO1	-1.40596947978218	6.0919780911851	-44.226172989291	4.51419709671402e-226	1.31953453596256e-224	507.132268815418
4578	TP53AIP1	-1.00545410042163	4.92348392277708	-44.2202674828721	4.89620601909996e-226	1.42277986672669e-224	507.051090723088
1801	DBT	-1.51116886514901	5.19839751955887	-44.1789451217726	8.64504267357938e-226	2.49745677236738e-224	506.482951314244
39	ZNF493	-1.43012442696488	4.72931830535348	-44.1424722259265	1.42814044333318e-225	4.0780426532173e-224	505.981319561348
4905	ZNF493	-1.43012442696488	4.72931830535348	-44.1424722259265	1.42814044333318e-225	4.0780426532173e-224	505.981319561348
3886	RFPL3S	-1.64098886757813	4.92551642723312	-44.1159310434151	2.05804175137814e-225	5.84294612172874e-224	505.616185488292
3461	PAWR	-1.47597054960303	4.96071961548803	-44.0845521991082	3.17034918214633e-225	8.94944283417307e-224	505.184391315781
3789	PTMA	3.27737415750244	11.7602443939076	44.0774875181058	3.49431861176107e-225	9.72091373104519e-224	505.087160517201
1047	AP2M1	2.72788566817274	10.4171626524639	44.0774823488094	3.4945673988795e-225	9.72091373104519e-224	505.087089370319
1048	AP2S1	2.15516128589712	10.6244309476532	44.0773140402733	3.5026774172592e-225	9.72091373104519e-224	505.084772877817
1668	COX6A1	2.55477731770095	11.764701624831	44.0731927687569	3.70724751969406e-225	1.02311747191557e-223	505.028049255861
620	216978_x_at	-1.1936682302643	4.66949172449307	-44.0713308242446	3.80354986173877e-225	1.04386312872164e-223	505.002421500045
91	ZFP37	-1.29935184999265	5.64641157074708	-44.0182944000976	7.89786359787306e-225	2.1437058337084e-223	504.272258165065
4855	ZFP37	-1.29935184999265	5.64641157074708	-44.0182944000976	7.89786359787306e-225	2.1437058337084e-223	504.272258165065
4876	ZNF192	-1.89307106912594	5.37967782320915	-43.9819099792749	1.30401649421059e-224	3.52013195704934e-223	503.771155000795
4596	TRDN	-1.14387836238996	4.63802079417923	-43.9781678195448	1.37304586643589e-224	3.68632966314852e-223	503.719607409836
1331	C4orf10	-1.4514130199246	4.99225844815843	-43.9675778230162	1.58885612407557e-224	4.24267527185583e-223	503.573723154726
739	220670_at	-2.0962333867998	5.1926974490698	-43.9262386038118	2.80948235495966e-224	7.46174345887137e-223	503.004121782583
3355	NUP54	-0.783170737450962	4.71980136471919	-43.8957822904926	4.2761824293414e-224	1.12964391448912e-222	502.584344517528
3428	OTUD4	-1.3047266182623	5.17474365293355	-43.8795104240858	5.35232203049581e-224	1.40640802290688e-222	502.360025897178
324	215262_at	-1.43359685804187	5.01633838678635	-43.8562543779883	7.37724806974771e-224	1.92823309336263e-222	502.039371759155
892	ACSL6	-1.79487968984264	5.14899453241977	-43.8434910421225	8.79802192287714e-224	2.28748569994806e-222	501.863364060471
3351	NUP160	-1.45325903632605	6.10980615058071	-43.798415216092	1.63904411271945e-223	4.2392030978189e-222	501.241611106649
4236	SLCO1C1	-2.0124844397006	5.15323399867463	-43.7571499651653	2.89763940663402e-223	7.45538472331878e-222	500.672210711837
3996	RPS8	2.99218810750553	11.9794851254733	43.7433831536891	3.5044386018229e-223	8.96991020362961e-222	500.482204435071
1945	EEF1D	3.36468724169272	11.4547712081063	43.7044349768839	6.00183273446278e-223	1.52830173753846e-221	499.944530888683
923	ADCY2	-1.61594094899843	5.64873117225418	-43.698073987087	6.55319773037992e-223	1.65527627818285e-221	499.856701569713
756	220873_at	-2.16036820206363	6.13736264272521	-43.6979162820866	6.56749292558378e-223	1.65527627818285e-221	499.854523999053
4249	SMARCB1	-1.4686907733549	5.21501364016804	-43.6258182549929	1.77897828228345e-222	4.46099122562449e-221	498.858699465855
4843	ZC3H15	-1.58654866433879	4.84624114198523	-43.6159260411933	2.03971525591128e-222	5.08898654757663e-221	498.722019987785
195	208755_x_at	2.63577768156682	12.9183061530945	43.5695568540573	3.87315108750916e-222	9.61475697100263e-221	498.081190691369
1851	DHODH	-1.52089501484149	6.00352540833161	-43.5599864186656	4.42138489164356e-222	1.09208206823596e-220	497.948894615152
4193	SLC25A31	-1.07816342056624	4.35617773140554	-43.5590861603013	4.47679095598424e-222	1.10026603594837e-220	497.936449423541
1846	DGKB	-2.1600145746958	4.86406015484728	-43.4940530081847	1.10096997085156e-221	2.692471116835e-220	497.037180152519
67	NANOG	-2.19398872284057	6.46782663566531	-43.4898698570925	1.16659713666258e-221	2.82384452984861e-220	496.979319287373
3189	NANOG	-2.19398872284057	6.46782663566531	-43.4898698570925	1.16659713666258e-221	2.82384452984861e-220	496.979319287373
4020	RYR3	-1.61275251480351	5.21483036433192	-43.4895459988275	1.17183831704244e-221	2.82384452984861e-220	496.974839632221
1253	C10orf84	-1.14968839385241	6.0675146705682	-43.4573026064795	1.83111998466916e-221	4.39113239042021e-220	496.528783261267
2950	MAGIX	-1.53490638094142	4.76781170406657	-43.4525770409736	1.95493163146157e-221	4.66539239585514e-220	496.463399450518
1746	CXorf1	-1.12689818756819	5.35682550225502	-43.4459682232166	2.14226013538431e-221	5.08786782153773e-220	496.371954257876
2877	LOC729799	-1.82354506226861	5.31415079459066	-43.4344369604695	2.51314830937162e-221	5.94016873124201e-220	496.212385806045
2452	HLA-B	3.88977107160558	11.8972228653387	43.3995487412105	4.07443374741616e-221	9.58462033915992e-220	495.72951214208
585	216777_at	-1.15435564553312	5.05733838313727	-43.3812472896084	5.25016744247744e-221	1.22918612160372e-219	495.476152714505
766	220897_at	-1.65010152241007	5.01021789838026	-43.3737676318558	5.82341054304098e-221	1.35696453219917e-219	495.372595549249
3662	PPP1R14B	3.05929064910383	9.23240831230912	43.3651179121179	6.56485746368136e-221	1.52255379674112e-219	495.252830584174
102	200885_at	2.88847910384285	10.3516209877391	43.3090368144064	1.42814695258803e-220	3.29675044195554e-219	494.476115254139
2956	MAN1A2	-1.8256272082169	6.21757406112366	-43.2931305239693	1.78049325883702e-220	4.09099381332785e-219	494.255749067213
4106	SERPINI2	-1.97552234831581	6.01986753656083	-43.2922457966391	1.8024673580097e-220	4.12230960581848e-219	494.243491170739
3984	RPS24	2.79180248517178	12.9836819043803	43.2479293785286	3.33237148774656e-220	7.58613601357973e-219	493.629371377506
1186	BANF1	2.71702003548732	10.428381678839	43.2406054430509	3.68866916475597e-220	8.3587273733461e-219	493.527857245589
565	216723_at	-1.49788545149853	4.87320304817613	-43.2117595063708	5.50366002171045e-220	1.24146486334473e-218	493.127975009886
3991	RPS2P45	-1.1982458034512	5.06416022897013	-43.1932286781502	7.11725088486628e-220	1.59814633505634e-218	492.871037211949
1434	CCDC52	-1.06309329135736	4.81403300719886	-43.1689748326801	9.96515255006086e-220	2.22750468766066e-218	492.534687462637
