genesym	logFC	AveExpr	t	P.Value	adj.P.Val	B
HOXA1	-2.03831761229915	5.57071730244837	-50.3838064610218	5.27058782676502e-262	5.27058782676502e-260	589.687154080198
SMAD4	-1.45877289128535	4.85281914961179	-48.5286591812744	1.99035758989423e-251	9.95178794947116e-250	565.331381860773
TBR1	-1.91985668146432	5.37054013210823	-48.090787046933	6.64654861737315e-249	2.21551620579105e-247	559.520130986173
GCM2	-1.18543784749162	4.44339770881846	-47.8269195987831	2.23035079262891e-247	5.57587698157228e-246	556.006717800247
SP2	-1.65934535925801	4.70950381016514	-46.3740781601564	6.54592922197348e-239	1.3091858443947e-237	536.508333668382
FOXE1	-1.58258419267828	5.06635014647522	-45.9753774701585	1.44324038830142e-236	2.40540064716903e-235	531.11225171904
CREB5	-1.8316516281006	5.44115636583972	-45.8868755905933	4.79343552141572e-236	6.84776503059389e-235	529.91183356679
ELK4	-1.79048417227289	4.93334273113241	-44.9071675627384	3.0123546819934e-230	3.76544335249175e-229	516.560180817088
ZNF493	-1.43012442696488	4.72931830535348	-44.1501526826087	9.84711204357305e-226	1.09412356039701e-224	506.164897268126
ZFP37	-1.29935184999265	5.64641157074708	-44.0218449315556	5.77269236875114e-225	5.77269236875114e-224	504.39627270162
NANOG	-2.19398872284057	6.46782663566531	-43.5090991869264	6.90413518106997e-222	6.27648652824542e-221	497.309231493832
IKZF3	-1.76686059862317	5.35883273518541	-42.1663370350438	9.14848841046334e-214	7.62374034205278e-213	478.606403652108
ZNF235	-1.65880774108208	5.61819890084354	-40.8220873280414	1.51485207977671e-205	1.16527083059747e-204	459.680962076106
ZSCAN12	-1.71349255520276	5.08960564802928	-40.6641769105864	1.41727446159911e-204	1.01233890114222e-203	457.444925990824
MECOM	-1.90295252751181	6.04124263975826	-40.4768966354425	2.016695173615e-203	1.34446344907666e-202	454.789583047064
ZNF391	-1.97598294453672	4.95554183354503	-39.9162947119209	5.83594463666822e-200	3.64746539791764e-199	446.819193037571
ZNF334	-1.40168205444073	4.56061856644184	-39.7149368932108	1.0300288330846e-198	6.05899313579174e-198	443.948467181844
NR2C1	-1.73988778895675	7.01811659855977	-39.6057971976018	4.89051533582465e-198	2.71695296434703e-197	442.390757329908
SOHLH2	-1.80799785523321	5.56157548264251	-39.5109404745238	1.89562233176713e-197	9.97695964087963e-197	441.035925831162
ZNF717	-2.00281483200546	5.85227441409734	-39.1766262205582	2.26272189772269e-195	1.13136094886135e-194	436.253762194751
ZNF141	-1.82923090066225	5.27340973048878	-39.1498781057319	3.31901072799851e-195	1.58048129904691e-194	435.870667293843
NHLH2	-1.67054798448681	5.51638044313278	-38.8235384570784	3.57561537931693e-193	1.62527971787133e-192	431.191082565235
ZNF286A	-1.61633900216874	6.31284953473787	-38.7667018910581	8.08671853073447e-193	3.5159645785802e-192	430.375009403049
ZFY	-1.28212483870531	5.00946109967375	-38.7029524955697	2.02051560460173e-192	8.41881501917386e-192	429.45930973152
ZNF440	-1.65484721848179	5.16845400864401	-37.9311523183467	1.35986067376828e-187	5.43944269507312e-187	418.342628174049
FEV	-1.87228047030426	6.65522862572679	-37.0803769034603	3.04048854216486e-182	1.14771334808728e-181	406.0255810176
ZNF695	-1.72694430117112	5.40676169769243	-37.0790675975027	3.09882603983565e-182	1.14771334808728e-181	406.006576861042
ISL1	-1.77825241404253	5.24540188313793	-36.9609406725834	1.72237482446136e-181	6.15133865879058e-181	404.291401905214
NR4A3	-1.81455989766738	7.70976566309912	-36.462990348794	2.40928613582656e-178	8.30788322698813e-178	397.048459236473
FOXF1	-1.54879725863676	5.45029813098772	-36.3785647040298	8.24362239417687e-178	2.74787413139229e-177	395.818433633934
REL	-1.91406642608569	6.18842992202482	-36.340898743647	1.42738699369937e-177	4.60447417322377e-177	395.269481172655
NR0B1	-0.867164315491277	5.24023479748031	-35.8169757302135	2.99217755856449e-174	9.35055487051404e-174	387.622161746924
ZNF442	-1.62840997701493	4.97801213271252	-35.790126413372	4.4304571921964e-174	1.34256278551406e-173	387.229693769153
MEOX2	-0.7644133184738	4.40267046993011	-34.6112019405874	1.42405080741155e-166	4.18838472768104e-166	369.945798662292
NEUROD4	-1.71795411710412	6.14867048307441	-34.2665710358234	2.26851227213694e-164	6.48146363467697e-164	364.875660401597
SHOX	-1.52129828265891	6.57565314662993	-34.1084087599901	2.33067193976526e-163	6.47408872157016e-163	362.546362454768
NR5A2	-1.19580278520458	5.56515689384955	-34.0689049806231	4.1714106675805e-163	1.12740828853527e-162	361.964346711635
SP4	-1.51994909814653	6.16921303564514	-33.7286681510485	6.29858653212605e-161	1.65752277161212e-160	356.947846730934
ZBTB44	-2.07678594431783	7.07163371422815	-33.7099066271535	8.30768054439203e-161	2.13017449856206e-160	356.671034290343
ZNF132	-1.54301931657417	5.45588749576111	-33.4823595394251	2.39014666301844e-159	5.97536665754609e-159	353.312224675824
ZNF287	-1.57393308584114	6.52596601403376	-32.6919716606588	2.85093379983578e-154	6.9534970727702e-154	341.62510833657
ETV1	-1.6108272230568	7.75224749967257	-32.1498169575474	8.79442606491111e-151	2.09391096783598e-150	333.59255641156
PREB	1.67628195397173	8.90897136816711	32.0821569990578	2.39886566366495e-150	5.57875735736035e-150	332.589316644296
ST18	-1.34229793241676	4.91196456192832	-31.7946722458069	1.70796080776998e-148	3.88172910856814e-148	328.324827048424
RREB1	-1.47815826470156	6.55295864363526	-31.7826087354306	2.0428578524526e-148	4.53968411656133e-148	328.145820093196
IKZF2	-1.25112192977041	6.20250692646821	-30.838261342304	2.52858900349094e-142	5.49693261628464e-142	314.120679809436
KLF8	-1.047920188337	5.21966162553376	-30.7636243460337	7.6699560553574e-142	1.63190554369306e-141	313.01135166588
ZFP2	-0.945726162558326	5.0025457358051	-30.5880926417585	1.04309975891978e-140	2.17312449774955e-140	310.402069550298
MYNN	-1.50374199839213	7.38683964402931	-30.328941597123	4.92271082855257e-139	9.92812683393469e-139	306.549012731114
POU4F2	-1.13491323498324	5.18132410388748	-30.3283791945845	4.96406341696734e-139	9.92812683393469e-139	306.540650096411
IRF3	1.68829108820508	8.78626171130405	30.2722681585249	1.14369327838336e-138	2.24253583996737e-138	305.706292468823
PRDM5	-1.06812815442938	6.51233896909322	-29.7482673272965	2.77848221595131e-135	5.34323503067561e-135	297.913512131421
NEUROD2	-1.44324768066924	6.77292812359349	-29.5251028714046	7.68703323294048e-134	1.45038362885669e-133	294.594489089581
HMGA2	-1.62266170895327	6.09509902420379	-29.4867827277326	1.35943164648581e-133	2.51746601201076e-133	294.0245817238
ZNF208	-1.19126444352248	5.31826926098478	-29.4423361788177	2.63353035255554e-133	4.78823700464643e-133	293.363567947544
SUB1	2.84527874050382	10.3318665327076	29.4103861260645	4.23617816819307e-133	7.56460387177334e-133	292.888408912754
NR1I2	-1.02066215575062	6.25869499484273	-29.1415144405561	2.31266252913997e-131	4.05730268270171e-131	288.890031710743
SOX5	-0.972889976259257	5.6497637664516	-29.1130080633209	3.53405883713768e-131	6.0932048916167e-131	288.466150727107
ZNF484	-0.785865224919057	5.3911953286628	-28.9884789998305	2.25286612483984e-130	3.8184171607455e-130	286.614546783432
NEUROD6	-1.03120922329066	6.54887323931735	-28.9774103044241	2.65604810522135e-130	4.42674684203559e-130	286.449976989598
NR1H4	-1.2077357954346	5.78870983172255	-28.5259427370031	2.18739980659004e-127	3.58590132227875e-127	279.739161878831
KDM5D	-1.18209570351602	6.45862679589345	-28.3879433152859	1.70154037511688e-126	2.74441995986594e-126	277.688660390624
THAP7	1.59896958941436	7.67267773895546	28.266750946972	1.03061585892432e-125	1.63589818876876e-125	275.888263978909
RORB	-0.851867565109753	5.38234128220197	-28.264011488641	1.07343877511935e-125	1.67724808612398e-125	275.84757174806
VDR	-1.07834073936172	8.06182887808257	-28.0431935440154	2.85529746677481e-124	4.3927653334997e-124	272.568199360608
ZNF780B	-0.520861244857563	4.42011531353053	-27.7705279738408	1.6376190591645e-122	2.48124099873408e-122	268.520918141831
NR2E1	-1.25670055097131	6.26366266833621	-27.4302317059656	2.55480969368829e-120	3.81314879654968e-120	263.473579548485
OLIG2	-0.63890399771155	6.2459420371518	-27.2973400647041	1.833445330241e-119	2.69624313270735e-119	261.503815930474
ZIC4	-0.733575518046842	5.50750212216014	-26.6971104292015	1.3321488085788e-115	1.93065044721566e-115	252.617860785678
ATF7	-0.997785145505815	5.85488387062416	-26.2484750283886	1.01121144595712e-112	1.44458777993875e-112	245.989788106324
TFDP3	-0.943244254607652	6.21066596015298	-25.7827556322143	9.73897390986801e-110	1.37168646617859e-109	239.124125287585
