genesym	logFC	AveExpr	t	P.Value	adj.P.Val	B
DR1	-1.72011118853565	5.01069231684208	-51.0966896509122	2.94605778536586e-266	2.94605778536586e-264	599.470528079478
HOXA1	-2.03831761229915	5.57071730244837	-50.3912971599552	2.8025153136743e-262	1.40125765683715e-260	590.309585098643
SMAD4	-1.45877289128535	4.85281914961179	-48.5029744198217	1.69940477132897e-251	5.66468257109657e-250	565.479768246997
RBM26	-2.17551614284564	5.26780763534616	-48.1782945669157	1.26974971542762e-249	3.17437428856906e-248	561.165763422609
EDF1	3.42096025058712	9.88307079702695	48.0610026763936	6.05194172662359e-249	1.21038834532472e-247	559.604097598378
GCM2	-1.18543784749162	4.44339770881846	-47.7675925984485	3.03122323497159e-247	5.05203872495265e-246	555.690072775969
SP2	-1.65934535925801	4.70950381016514	-46.3701799206264	4.3652493007951e-239	6.23607042970728e-238	536.903399315021
FOXE1	-1.58258419267828	5.06635014647522	-45.967556582635	1.02295446992373e-236	1.27869308740466e-235	531.44625717407
CREB5	-1.8316516281006	5.44115636583972	-45.8926538736185	2.82929246838106e-236	3.14365829820118e-235	530.428857563696
EZH1	-1.06898561811525	4.86118826358469	-45.7113065880899	3.33116068335079e-235	3.33116068335079e-234	527.962814528421
ELK4	-1.79048417227289	4.93334273113241	-44.9127336084546	1.81513489298284e-230	1.6501226299844e-229	517.056342722028
PAWR	-1.47597054960303	4.96071961548803	-44.0830754329355	1.63897974190335e-225	1.36581645158613e-224	505.644803030014
ZFP37	-1.29935184999265	5.64641157074708	-43.9960696546587	5.44898340890399e-225	4.19152569915691e-224	504.443377168641
NANOG	-2.19398872284057	6.46782663566531	-43.5285430245423	3.51952842568147e-222	2.51394887548676e-221	497.972354227544
IKZF3	-1.76686059862317	5.35883273518541	-42.174999222244	5.54493830978314e-214	3.69662553985543e-213	479.096167533847
ZNF235	-1.65880774108208	5.61819890084354	-40.8284570606405	9.70918533204371e-206	6.06824083252732e-205	460.114601800238
ZSCAN12	-1.71349255520276	5.08960564802928	-40.6728839816662	8.81191065053967e-205	5.18347685325863e-204	457.908923807618
