genesym	logFC	AveExpr	t	P.Value	adj.P.Val	B
HNRNPK	2.4308049044	11.3474529631983	55.4423272598748	6.4753013999135e-290	1.25620847158322e-287	654.01177478582
UBC	2.61775648221547	13.3258593193268	55.2475920171819	7.23554522083403e-289	7.01847886420901e-287	651.600729204998
TPT1	2.90632693330269	12.9454838371348	53.3995840421316	8.10318983873285e-279	5.24006276238058e-277	628.485140812667
DR1	-1.72011118853565	5.01069231684208	-51.0954784722706	4.98168966371049e-266	2.41611948689959e-264	599.065686632146
HOXA1	-2.03831761229915	5.57071730244837	-50.3762530944357	5.60376956736856e-262	2.174262592139e-260	589.74595824774
BLZF1	-1.45626952004471	5.01944698733855	-49.9288186858786	1.91813715405462e-259	6.20197679810994e-258	583.915360339838
TCEB2	3.71897079142898	10.8447739869099	48.7314371113987	1.31402757676011e-252	3.64173356987802e-251	568.188806812817
SMAD4	-1.45877289128535	4.85281914961179	-48.5127974150581	2.37230353442388e-251	5.75283607097792e-250	565.297839093658
HOXD1	-1.65042685414125	4.88848508961329	-48.4223999385644	7.86061116348179e-251	1.69439840635052e-249	564.10081715561
RBM26	-2.17551614284564	5.26780763534616	-48.1580200405408	2.62804428342463e-249	5.09840590984379e-248	560.594127725408
TBR1	-1.91985668146432	5.37054013210823	-48.0832947371393	7.09763719515659e-249	1.25176510532762e-247	559.601409677357
EDF1	3.42096025058712	9.88307079702695	48.0265231599676	1.51052111556768e-248	2.44200913683441e-247	558.846741617151
TSFM	-1.96351571322496	6.02327016829124	-47.9831693049521	2.68987471491658e-248	4.01412072841397e-247	558.270166799778
GCM2	-1.18543784749162	4.44339770881846	-47.8023962531014	2.99069677965041e-247	4.14425125180128e-246	555.863503956325
DNPEP	-2.25829087029252	5.67548220000303	-47.49022114851	1.93329633233713e-245	2.50039658982269e-244	551.697933665753
SP2	-1.65934535925801	4.70950381016514	-46.3643104831371	7.23611964723591e-239	8.77379507227354e-238	536.574338789096
FOXE1	-1.58258419267828	5.06635014647522	-45.9646613920169	1.61767191157978e-236	1.84604912262634e-235	531.168788847406
CREB5	-1.8316516281006	5.44115636583972	-45.8797241519841	5.12023360964599e-236	5.51847400150735e-235	530.01744538831
EZH1	-1.06898561811525	4.86118826358469	-45.7541275241366	2.81789933006552e-235	2.87722352648795e-234	528.313350187457
