genesym	logFC	AveExpr	t	P.Value	adj.P.Val	B
SLCO1A2	-2.34375362133097	5.31603089834497	-50.2836363899195	2.73199317204706e-261	3.92041020188754e-258	588.164439991607
FN1	4.12695861706238	12.075508973491	49.794158757966	1.61871224354192e-258	1.16142603474133e-255	581.785329242413
SPACA1	-1.53003451218118	4.92699958823353	-48.5622931387789	1.7565614123825e-251	8.4022187558963e-249	565.598406304512
211606_at	-1.9524254552785	5.60736908573445	-48.5148781312713	3.28929385042771e-251	1.18003416884094e-248	564.97157988095
SLC30A10	-2.32525227831767	5.09545319095697	-48.4727579314933	5.74408178525298e-251	1.6485514723676e-248	564.414516020014
MSTP9	-1.73746355477109	5.37441879145318	-48.4419215939643	8.64045571890673e-251	2.06650899277186e-248	564.006547691586
HOXD1	-1.65042685414125	4.88848508961329	-48.3802384223284	1.95606365076344e-250	4.00993048406504e-248	563.190117033965
RBM26	-2.17551614284564	5.26780763534616	-48.1196160542031	6.2077692368548e-249	1.11351860686083e-246	559.73532907054
TBR1	-1.91985668146432	5.37054013210823	-48.0436466067023	1.7033946978855e-248	2.71596821273966e-246	558.726695897568
GPR98	-2.07183771590042	5.36905689112014	-47.7292886089873	1.11843020847318e-246	1.60494734915902e-244	554.545407835736
KLHL4	-2.20623426684554	5.28733348562152	-47.5339010487307	1.51639383137598e-245	1.97820468002231e-243	551.940381164388
LAMA4	-1.61297574494901	4.99896534255604	-47.4680612814994	3.65419443102659e-245	4.36980750710263e-243	551.061501381034
214645_at	-1.79848966691788	4.92651244034605	-47.2777910597416	4.65563049555008e-244	5.13909981624182e-242	548.518618535179
DLGAP2	-1.74635176272139	5.7690738356439	-47.1722927834963	1.91249793403532e-243	1.9603103823862e-241	547.106752535115
208098_at	-2.42988158542472	5.58859620662415	-47.0354205112248	1.19837805171012e-242	1.14644833613601e-240	545.272969530122
221144_at	-2.45499551445859	4.98041814186146	-46.8574605648845	1.30716468552197e-241	1.17236332732752e-239	542.885255968575
PRSS7	-1.6664472876169	4.95746542440518	-46.2056808890915	8.53934223087146e-238	7.20820947135326e-236	534.107073246997
SPINLW1	-2.67605021941758	5.65319872056844	-46.1616863869678	1.5479277299583e-237	1.23404238471675e-235	533.512683447193
215234_at	-2.0201910747822	5.80671577218728	-45.7152835148082	6.55701273699218e-235	4.95227014609672e-233	527.468219237884
PPP1R3A	-1.76400416038169	5.23509979006012	-45.7080805573876	7.23068411689362e-235	5.18801585387117e-233	527.370490143737
TAAR3	-2.12525131509934	5.64106304019971	-45.4166178371454	3.80292488645209e-233	2.59866533907559e-231	523.410684154394
IFNA5	-2.10153843956989	4.93727879239822	-45.3970815465522	4.96167888537472e-233	3.23636781841487e-231	523.14489761602
SCN11A	-1.59180903750773	5.30960883260763	-45.0689311205461	4.35350990540229e-231	2.7162116148923e-229	518.673621920755
ARHGAP24	-1.7211105455416	5.94139494315167	-45.0201264165851	8.47863466040588e-231	5.06951697403435e-229	518.007519081486
216487_at	-1.65257911023928	5.53927444681549	-44.9199906748195	3.33174062558081e-230	1.91241911908338e-228	516.639939595782
ELK4	-1.79048417227289	4.93334273113241	-44.8631080801773	7.25310021041008e-230	4.00315338536095e-228	515.86254492288
ANXA10	-2.08904194160177	5.64445868064074	-44.8237476581909	1.24280198715286e-229	6.60526241320132e-228	515.324393256751
TAS2R8	-1.97222358632621	5.29809714593015	-44.6836434033433	8.46345011973069e-229	4.33751818636198e-227	513.407330075446
217470_at	-2.2290321596903	5.13512752468428	-44.5015500635574	1.02778247710784e-227	5.08575122293016e-226	510.912230535667
ASB4	-1.62363356300576	5.26650234301218	-44.3878706715745	4.89463926093515e-227	2.34126911314732e-225	509.352562730801
PRO2964	-1.60589861436489	5.1812735245777	-44.232234478219	4.15706352029783e-226	1.92431811342819e-224	507.214769651888
ACSL6	-1.79487968984264	5.14899453241977	-43.8163424999693	1.2809179448099e-223	5.74411640875688e-222	501.488129808127
SLCO1C1	-2.0124844397006	5.15323399867463	-43.7356577250742	3.9027101017481e-223	1.69708757454804e-221	500.374785899212
220873_at	-2.16036820206363	6.13736264272521	-43.6793262934784	8.49897470690495e-223	3.58706726600253e-221	499.597034863748
220897_at	-1.65010152241007	5.01021789838026	-43.3426875128865	8.96627160933092e-221	3.67617135982568e-219	494.941457989166
SERPINI2	-1.97552234831581	6.01986753656083	-43.2706469786011	2.43403462672584e-220	9.70233247042104e-219	493.943457764101
BANF1	2.71702003548732	10.428381678839	43.2291776660686	4.32621278677005e-220	1.6778690132473e-218	493.368698041412
MPL	-2.00652327080027	5.57893243330052	-43.057471799733	4.6908982928577e-219	1.77143132901337e-217	490.9867630214
RHAG	-1.14349559953937	4.54679596707434	-42.9759710030456	1.45582127945262e-218	5.35667573337053e-217	489.854981250277
KIR3DX1	-1.83547243510261	6.09707611289472	-42.9671863595113	1.64491166796796e-218	5.90112060883507e-217	489.732945486583
PTCH1	-1.59035522833568	5.75487286070771	-42.8289864918951	1.12456840472455e-217	3.93598941653593e-216	487.811916509098
MIA2	-1.5276750278157	4.82944686411176	-42.814372282227	1.3782355152569e-217	4.70897134379442e-216	487.608645793413
216444_at	-1.85594542002501	5.36165993778826	-42.8088306183522	1.48875605415372e-217	4.96829055281533e-216	487.531559771689
OR2B2	-1.51365904755463	5.08063244465012	-42.7443862810534	3.65182524343894e-217	1.19099300553066e-215	486.634864264958
SIRPB1	-1.70361715627616	6.57915807602622	-42.5827742326586	3.47264334953165e-216	1.10738737923954e-214	484.38406941707
EMR3	-1.78477122969446	5.86633951209622	-42.572946103663	3.98277798245728e-216	1.24245356626657e-214	484.247095791816
222355_at	-1.90393185073898	5.64067492148545	-42.4554359359764	2.05246985690143e-215	6.26658349926288e-214	482.608519971291
MMP27	-1.53641500427016	5.92045219290031	-42.4484065529696	2.26409743095383e-215	6.7687079446224e-214	482.510451826918
NDUFA13	3.13403626609037	10.7735415012607	42.4343022364781	2.75686337352956e-215	8.07367130819372e-214	482.313663193913
NRXN1	-2.20430655558443	6.29253287936758	-42.4031319359081	4.26037576724908e-215	1.22272784520049e-213	481.878683858012
CTAGE1	-1.78324517672386	5.12122110418464	-42.3827335435341	5.66474011597618e-215	1.59390236596585e-213	481.59396630075
207477_at	-2.17659701833702	5.46075100311696	-42.3205264574774	1.35095255854008e-214	3.72810946443272e-213	480.725399534612
SMARCA1	-1.64389359208262	6.01673529353311	-42.2823077401631	2.30482249020499e-214	6.240415610272e-213	480.191554123551
217699_at	-1.74435255723989	5.46657890840244	-42.2608851617566	3.10963363809126e-214	8.26356346418695e-213	479.892248039464
IKZF3	-1.76686059862317	5.35883273518541	-42.126357260673	2.04190514212488e-213	5.32751614354401e-212	478.011509175106
USH1C	-2.4493867621413	6.32536116749103	-42.1247297480542	2.08895428345616e-213	5.3529453513564e-212	477.988743646455
TRPC3	-1.60813517571588	4.92487141463507	-42.0909905534066	3.35006141585554e-213	8.43392654693455e-212	477.516735403545
216529_at	-1.64707060650801	4.81844602936369	-42.0045564262436	1.12408088586134e-212	2.78113115726038e-211	476.30694885401
222342_at	-1.18519183134027	4.70191394692417	-41.9536538178607	2.29396871847556e-212	5.57939849324141e-211	475.594093499362
NLRP3	-1.40829750946653	4.69864816011081	-41.8567137634846	8.93109469283476e-212	2.13602014736965e-210	474.235717710108
KRTAP9-9	-1.50157400182201	4.6298014639926	-41.8208508514605	1.47709035243035e-211	3.47479451760254e-210	473.732922689139
211106_at	-2.23192976377008	6.09982493224389	-41.7089786727266	7.1024728341035e-211	1.6438787930546e-209	472.163567823306
216790_at	-1.45820586828624	6.23550762287339	-41.5249652455794	9.42995194535126e-210	2.14793349866334e-208	469.579200370098
MTMR8	-1.8322464490694	5.30804203320848	-41.4974151378619	1.3893026796195e-209	3.11507710195935e-208	469.191953476266
ADAM5P	-1.94469797637619	5.52795900369818	-41.4545294648736	2.53999081994422e-209	5.60751819479993e-208	468.58898268786
NSUN7	-1.58225447456678	5.70682684103246	-41.327853906552	1.51126776452808e-208	3.28586248802697e-207	466.806753681263
C9orf27	-1.75259873020008	5.66370663675533	-41.3207223764602	1.67096386863624e-208	3.57885544998957e-207	466.706366331588
SLC24A1	-1.95946870946756	5.99524428785717	-41.068548626767	5.84965670390954e-207	1.2344496132515e-205	463.153073965571
ATXN3L	-2.14470050711682	5.20468236196702	-41.0518032240756	7.40926741890068e-207	1.54091286175688e-205	462.916876308535
ABCC9	-1.89693436567222	6.55552220934341	-40.9803065371556	2.03319400450324e-206	4.16804770923165e-205	461.908059094813
FAM12A	-2.67776477100538	5.6017606802822	-40.9459535818643	3.3030061713702e-206	6.6757941632623e-205	461.423143496515
215801_at	-1.66519546725212	4.87985180208214	-40.9180264154128	4.90075488443318e-206	9.76747674883557e-205	461.028838787322
EPAG	-2.22855251157401	5.65555437260539	-40.9089233276877	5.57346073829378e-206	1.09560495334953e-204	460.900293838649
CYP3A7	-1.82170986766394	5.81877085710077	-40.8936525928312	6.91582412181465e-206	1.34110913713568e-204	460.68463539225
VPS13C	-1.884396721881	6.08154980612245	-40.8668889565027	1.00953865156421e-205	1.93158395332619e-204	460.30660996626
TAS2R13	-1.31861536275134	5.88277482634865	-40.8301546810159	1.69690465056701e-205	3.20402391258376e-204	459.787628306066
214842_s_at	-1.87402220117697	5.51783027637947	-40.8019780045827	2.52751667423313e-205	4.71037198379811e-204	459.389450443563
207596_at	-1.31753602847239	4.762553750113	-40.7482618566255	5.40348397513973e-205	9.94102500554552e-204	458.630127162996
215405_at	-1.9577806728193	5.09127953949978	-40.7306301605493	6.93449811600545e-205	1.25962086031238e-203	458.380821041245
GAL	-1.67658055467495	6.01501961140849	-40.686912590665	1.28738266881639e-204	2.28443050986792e-203	457.762526681176
207779_at	-1.59488751222457	5.39590492289253	-40.6867981611494	1.28946948640628e-204	2.28443050986792e-203	457.760908045886
ELL2	-1.50714165884142	5.83487756807848	-40.5745945785237	6.31582539013119e-204	1.10526944327296e-202	456.173089455134
215601_at	-1.88443561547591	5.41578311156466	-40.5645876252945	7.27776622163133e-204	1.25826440096879e-202	456.031413889685
214167_s_at	2.79126880107017	11.6512812766504	40.5507895339899	8.84909164662204e-204	1.5117198229646e-202	455.836047089451
BUB1	-2.33783870597105	5.84629304334028	-40.5108156801711	1.55922897111092e-203	2.63234538064021e-202	455.269944664168
PAX4	-1.16858953510959	4.79744449755061	-40.5048517302017	1.69675890451689e-203	2.83121979997876e-202	455.185469810936
MECOM	-1.90295252751181	6.04124263975826	-40.4411457921538	4.18653405748732e-203	6.90537514079805e-202	454.282889002158
216287_at	-1.93398710753389	5.48159131739838	-40.3777976647701	1.0281824064292e-202	1.67663835593853e-201	453.384953650954
216753_at	-2.0517969263037	6.42863354283834	-40.3578011514658	1.3654754871664e-202	2.20163744279077e-201	453.101423156874
DKFZp686O1327	-1.570678986628	5.61431774417645	-40.3552352620579	1.4161055522201e-202	2.25790163048427e-201	453.065038380325
KRT38	-1.69344172243472	6.91503220045663	-40.3395431543274	1.7692990461882e-202	2.79004849591216e-201	452.842506417248
217375_at	-1.2561648777333	4.95522145825807	-40.2050808218832	1.1937408154536e-201	1.86197616323469e-200	450.934620351181
208360_s_at	-2.12163105396209	6.61536113155304	-40.1114257196323	4.5173223466791e-201	6.97027695428441e-200	449.60463363052
215408_at	-1.81761878099249	5.73237360275929	-40.0860075105094	6.48353764450389e-201	9.89774097857775e-200	449.243514910456
221202_at	-1.23484444158413	4.95114909780457	-40.0729103103168	7.81061011731485e-201	1.17981321245756e-199	449.057415681062
SCAMP1	-2.46880253598196	5.81061624763108	-40.0485657256964	1.10415240410449e-200	1.65047781238536e-199	448.711454185938
PEX5L	-2.22268852464865	5.66659337478969	-39.9780678232955	3.0098912595187e-200	4.45277727567973e-199	447.709260910654
RIT2	-1.54388720616946	4.82907369396286	-39.9656469832413	3.59176022893822e-200	5.25936319237382e-199	447.53263392976
215477_at	-1.78792853373271	5.82931610334781	-39.9613601825311	3.81768330854074e-200	5.53371267450097e-199	447.47167102075
GABRA5	-1.63904829886168	5.1009825277303	-39.8943011436237	9.91593889409134e-200	1.42293723130211e-198	446.517773090354
215885_at	-1.84215287510046	5.91790689981851	-39.8451332474686	1.99709614989659e-199	2.83745839118971e-198	445.818078418767
SIKE1	-1.72475174163933	5.5886798891828	-39.8277477011314	2.55823717760345e-199	3.59908857829505e-198	445.570610190695
SLC17A1	-2.05052373797105	6.16762256240051	-39.759495203859	6.76488492853663e-199	9.42486395383501e-198	444.598795725377
C6orf10	-1.7904996191863	5.1960075149361	-39.5889608721111	7.69770185311682e-198	1.06213482300218e-196	442.168564031173
C7orf64	-2.25181654155029	6.67856751200889	-39.5641614143676	1.09659989413857e-197	1.49868652198938e-196	441.814908865795
OTC	-2.69562991551961	5.999100051761	-39.5587415380913	1.18478578653369e-197	1.60393170158098e-196	441.737609891179
216108_at	-1.18222301509182	5.02015034991009	-39.4490850313892	5.66959512287607e-197	7.60361588909081e-196	440.173038002683
CNTLN	-1.70847102687354	6.45405969043179	-39.4469335627743	5.84651722426938e-197	7.76828908965423e-196	440.142328876954
220405_at	-1.34903824805788	4.7752083553404	-39.413959546311	9.3638535784251e-197	1.2327642096367e-195	439.671613960139
PRSS12	-2.31109943704713	5.2870214569291	-39.3508526964883	2.30715021518487e-196	3.00978232617298e-195	438.770438945318
216168_at	-2.00386435916135	6.32233366237834	-39.3093564533677	4.17525303698311e-196	5.39773703429799e-195	438.177649441644
DMD	-2.21625677774103	6.20216261465094	-39.249375615456	9.84403528556807e-196	1.26126702096341e-194	437.320496977334
217654_at	-1.44416363467602	6.0787345690436	-39.2275118439631	1.34582710414003e-195	1.7090813225141e-194	437.007965057709
TAS2R4	-1.65825432242279	5.954116001994	-39.2103593206674	1.72010079981353e-195	2.16521460327405e-194	436.762744885649
216002_at	-1.71415424876511	5.93590408624684	-39.2044453282075	1.87197090596363e-195	2.33589413048505e-194	436.678189024589
GP5	-1.52540757441168	5.1221834245583	-39.195849847052	2.11693623201753e-195	2.61879611460789e-194	436.55528814166
ACSBG2	-1.9825347943933	6.80894907121702	-39.1894774065806	2.31902525336168e-195	2.84427456288377e-194	436.464168261709
GULP1	-1.7833357441428	5.86670766389605	-39.159036468849	3.58497811360862e-195	4.35969796019353e-194	436.028836085798
ZNF717	-2.00281483200546	5.85227441409734	-39.1435399022731	4.47515612249802e-195	5.39651179477702e-194	435.807186324361
