ID	genesym	logFC	AveExpr	t	P.Value	adj.P.Val	B
1119	SLCO1A2	-2.34375362133097	5.31603089834497	-50.292875746362	1.94010379968949e-261	2.43483026861031e-258	588.498518433831
605	FN1	4.12695861706238	12.075508973491	49.8110583130513	1.0433782578427e-258	6.54719856796295e-256	582.217726680301
1130	SPACA1	-1.53003451218118	4.92699958823353	-48.5580848944018	1.50789250555337e-251	6.30801698156492e-249	565.74839532422
98	211606_at	-1.9524254552785	5.60736908573445	-48.5200229416507	2.49573495537949e-251	7.83036842250314e-249	565.245033699237
1104	SLC30A10	-2.32525227831767	5.09545319095697	-48.4822810500782	4.11399362407973e-251	1.03261239964401e-248	564.745726621283
861	MSTP9	-1.73746355477109	5.37441879145318	-48.4432302930005	6.90140224979659e-251	1.44354330391579e-248	564.228917143029
52	HOXD1	-1.65042685414125	4.88848508961329	-48.3795859696803	1.60429184097538e-250	2.51673282553012e-248	563.386222119592
689	HOXD1	-1.65042685414125	4.88848508961329	-48.3795859696803	1.60429184097538e-250	2.51673282553012e-248	563.386222119592
49	RBM26	-2.17551614284564	5.26780763534616	-48.1277690100975	4.53857157175915e-249	5.69590732255773e-247	560.047049193161
1029	RBM26	-2.17551614284564	5.26780763534616	-48.1277690100975	4.53857157175915e-249	5.69590732255773e-247	560.047049193161
54	TBR1	-1.91985668146432	5.37054013210823	-48.0485328825566	1.30134875809706e-248	1.36099390950984e-246	558.994722629921
1170	TBR1	-1.91985668146432	5.37054013210823	-48.0485328825566	1.30134875809706e-248	1.36099390950984e-246	558.994722629921
652	GPR98	-2.07183771590042	5.36905689112014	-47.7363967332811	8.31408496667116e-247	8.02628971782485e-245	554.841694702758
778	KLHL4	-2.20623426684554	5.28733348562152	-47.5425432438956	1.1058895957926e-245	9.91351030514085e-244	552.256360967822
793	LAMA4	-1.61297574494901	4.99896534255604	-47.4672625325756	3.02487228785928e-245	2.53080981417559e-243	551.251123690022
111	214645_at	-1.79848966691788	4.92651244034605	-47.2810850582357	3.65382202149159e-244	2.86596664810746e-242	548.762053754272
549	DLGAP2	-1.74635176272139	5.7690738356439	-47.1746792020943	1.52053862527947e-243	1.12251527925043e-241	547.337556226857
72	208098_at	-2.42988158542472	5.58859620662415	-47.0460537028042	8.53820281457089e-243	5.95302474015915e-241	545.613732117794
310	221144_at	-2.45499551445859	4.98041814186146	-46.8682944935511	9.29907482487806e-242	6.14228363432735e-240	543.228071237051
1008	PRSS7	-1.6664472876169	4.95746542440518	-46.2071244371121	6.927010094551e-238	4.34669883433076e-236	534.320650221039
1135	SPINLW1	-2.67605021941758	5.65319872056844	-46.1738829824277	1.08601074995993e-237	6.49020710095101e-236	533.871403017283
126	215234_at	-2.0201910747822	5.80671577218728	-45.7225128014344	4.935496376934e-235	2.81547634229644e-233	527.757973951532
988	PPP1R3A	-1.76400416038169	5.23509979006012	-45.7117085527818	5.71575429520864e-235	3.11881375673341e-233	527.61133629833
1156	TAAR3	-2.12525131509934	5.64106304019971	-45.4250439919924	2.82207150581024e-233	1.47570822491327e-231	523.715501759169
712	IFNA5	-2.10153843956989	4.93727879239822	-45.4052804583795	3.69386711738719e-233	1.85432129292837e-231	523.446545114208
1059	SCN11A	-1.59180903750773	5.30960883260763	-45.0696077450158	3.59999531263477e-231	1.73769004513717e-229	518.871280579006
386	ARHGAP24	-1.7211105455416	5.94139494315167	-45.0234147069674	6.76783113069158e-231	3.14578817371035e-229	518.24060330949
201	216487_at	-1.65257911023928	5.53927444681549	-44.9220588007459	2.70624720481836e-230	1.21297865787395e-228	516.855886736743
50	ELK4	-1.79048417227289	4.93334273113241	-44.8676355490348	5.69886587035746e-230	2.3840255557662e-228	516.111852979643
576	ELK4	-1.79048417227289	4.93334273113241	-44.8676355490348	5.69886587035746e-230	2.3840255557662e-228	516.111852979643
1167	TAS2R8	-1.97222358632621	5.29809714593015	-44.6906822453846	6.43322499726216e-229	2.60441850695613e-227	513.690234411621
274	217470_at	-2.2290321596903	5.13512752468428	-44.5110848083181	7.55879098531163e-228	2.9644633395519e-226	511.228614248737
389	ASB4	-1.62363356300576	5.26650234301218	-44.3897266905682	4.00343350993913e-227	1.52251789544655e-225	509.563070525641
1001	PRO2964	-1.60589861436489	5.1812735245777	-44.2338380320964	3.4160176667887e-226	1.26091240347642e-224	507.421061718057
343	ACSL6	-1.79487968984264	5.14899453241977	-43.8214549628541	1.00596250378332e-223	3.60709412070876e-222	501.740835575363
1120	SLCO1C1	-2.0124844397006	5.15323399867463	-43.743434437668	2.95588861617343e-223	1.0304556148049e-221	500.663922605992
301	220873_at	-2.16036820206363	6.13736264272521	-43.6884644685459	6.3194799249527e-223	2.14349927184207e-221	499.904747622655
306	220897_at	-1.65010152241007	5.01021789838026	-43.3457307777767	7.27124263932111e-221	2.40142355588105e-219	495.163404433929
1073	SERPINI2	-1.97552234831581	6.01986753656083	-43.2781811589286	1.85564924275284e-220	5.97138410167901e-219	494.227320604465
854	MPL	-2.00652327080027	5.57893243330052	-43.0653793415975	3.56294157896288e-219	1.1178729203996e-217	491.274925460923
774	KIR3DX1	-1.83547243510261	6.09707611289472	-42.973218097431	1.28319861801572e-218	3.92783967221886e-217	489.994669111658
1036	RHAG	-1.14349559953937	4.54679596707434	-42.9636484243877	1.46589017356218e-218	4.38021944719174e-217	489.861676242666
1019	PTCH1	-1.59035522833568	5.75487286070771	-42.8312461958783	9.25488747793915e-218	2.70113576391015e-216	488.020561756141
848	MIA2	-1.5276750278157	4.82944686411176	-42.8153574086175	1.15468927134787e-217	3.22835418033716e-216	487.799485916452
198	216444_at	-1.85594542002501	5.36165993778826	-42.8151780474326	1.15757719613683e-217	3.22835418033716e-216	487.796990128595
929	OR2B2	-1.51365904755463	5.08063244465012	-42.7451163071696	3.07204095964894e-217	8.38132913991178e-216	486.821808897421
1084	SIRPB1	-1.70361715627616	6.57915807602622	-42.5871357440156	2.78040337478556e-216	7.42426858586356e-215	484.620842147578
578	EMR3	-1.78477122969446	5.86633951209622	-42.5784807206007	3.13729595186299e-216	8.20272170747512e-215	484.500179339392
331	222355_at	-1.90393185073898	5.64067492148545	-42.4624612768091	1.58476747181792e-215	4.05894525945203e-214	482.881889805427
851	MMP27	-1.53641500427016	5.92045219290031	-42.4498475014264	1.89008358098031e-215	4.74410978826057e-214	482.705855470349
881	NDUFA13	3.13403626609037	10.7735415012607	42.447911572245	1.94189209106984e-215	4.77857759665225e-214	482.678836588256
909	NRXN1	-2.20430655558443	6.29253287936758	-42.41281550415	3.17075787158912e-215	7.65250217085451e-214	482.188943242079
511	CTAGE1	-1.78324517672386	5.12122110418464	-42.3883294942467	4.46439420576853e-215	1.05713485438481e-213	481.847069407062
63	207477_at	-2.17659701833702	5.46075100311696	-42.3300236436223	1.00861241984435e-214	2.34408997574936e-213	481.0327301976
1122	SMARCA1	-1.64389359208262	6.01673529353311	-42.2858696289913	1.8701828878743e-214	4.26741731687682e-213	480.415790073893
285	217699_at	-1.74435255723989	5.46657890840244	-42.2660037104148	2.4692579402102e-214	5.53378341957822e-213	480.138142731451
1220	USH1C	-2.4493867621413	6.32536116749103	-42.1358969393856	1.52552938511159e-213	3.35884101458781e-212	478.318665467009
1204	TRPC3	-1.60813517571588	4.92487141463507	-42.0940472761102	2.74144076095295e-213	5.93191061206198e-212	477.733015432541
204	216529_at	-1.64707060650801	4.81844602936369	-42.008327033196	9.1128322486996e-213	1.93840753764712e-211	476.532822556283
330	222342_at	-1.18519183134027	4.70191394692417	-41.9449276611822	2.21675106160761e-212	4.63670430386258e-211	475.644622489621
892	NLRP3	-1.40829750946653	4.69864816011081	-41.8556514342601	7.75682510945143e-212	1.59587139546911e-210	474.393138794308
791	KRTAP9-9	-1.50157400182201	4.6298014639926	-41.822014641213	1.24375630459287e-211	2.51760348752267e-210	473.921384825841
89	211106_at	-2.23192976377008	6.09982493224389	-41.7189332240651	5.29008725236163e-211	1.05381896852601e-209	472.47489282576
234	216790_at	-1.45820586828624	6.23550762287339	-41.5253978588615	8.04033781069882e-210	1.57665999256672e-208	469.755932761797
864	MTMR8	-1.8322464490694	5.30804203320848	-41.5039595935829	1.08716568845244e-209	2.09906606001202e-208	469.454494919819
346	ADAM5P	-1.94469797637619	5.52795900369818	-41.4622671730004	1.95507987923888e-209	3.71761401279514e-208	468.86812424676
910	NSUN7	-1.58225447456678	5.70682684103246	-41.3309130952371	1.24360168859313e-208	2.32943301370803e-207	467.019489208246
436	C9orf27	-1.75259873020008	5.66370663675533	-41.3263622137956	1.32597254470473e-208	2.44719932883005e-207	466.955407772822
1099	SLC24A1	-1.95946870946756	5.99524428785717	-41.0765213414373	4.4994638161569e-207	8.18380737576363e-206	463.433915912211
399	ATXN3L	-2.14470050711682	5.20468236196702	-41.0612525568083	5.58211388348448e-207	1.00079327482472e-205	463.218483916026
337	ABCC9	-1.89693436567222	6.55552220934341	-40.987706353428	1.57755268852576e-206	2.78849101985892e-205	462.18044528149
588	FAM12A	-2.67776477100538	5.6017606802822	-40.9580629845627	2.39833076779372e-206	4.18042376886266e-205	461.761890898635
