genesym	logFC	AveExpr	t	P.Value	adj.P.Val	B
PROP1	-0.688434850704648	6.94143914678325	-13.7471233261949	4.11583395737476e-39	5.19379047002053e-39	76.9045456371853
FARSA	1.26033609656188	8.05899231103518	13.7375179157767	4.59132220047206e-39	5.72564886176515e-39	76.7956939888623
APBB2	-0.712028881826778	7.06781937297406	-13.6059228954885	2.04304484052839e-38	2.51817154762802e-38	75.3093993274377
TCF15	0.864745019615364	7.2746075236166	13.2179582296185	1.57804633949344e-36	1.92267714926786e-36	70.982469584376
ZNF835	-0.604571089674125	7.63893165498374	-12.8318262827775	1.0993738730186e-34	1.32424580159058e-34	66.759622185967
MYCL1	-0.644952333637269	6.11879132849047	-12.7307827634343	3.29131363709301e-34	3.91999152282988e-34	65.66870786456
BMP6	-0.627299151870833	6.69070399047273	-12.5756850241562	1.75135115088975e-33	2.06270246660348e-33	64.00580671795
TOP2A	1.75698720729729	7.48517795397031	12.2895444775997	3.68735440717075e-32	4.29516007868241e-32	60.9753651435486
THRB	-0.50966481352688	7.24056498818408	-11.6769975302302	2.12595739240612e-29	2.44947264777226e-29	54.6560766409997
IGHM	2.27047774610233	9.55340398138433	11.546795000885	7.96877887393436e-29	9.0826942003983e-29	53.3431872211527
PRDM14	-0.479018987377142	7.4196232607615	-10.756615281222	1.91550894458909e-25	2.16004200134515e-25	45.6126602068981
PKNOX2	-0.379522794855127	6.87436247945713	-10.6305525584215	6.38418189830281e-25	7.12340296021156e-25	44.4180094631552
ZNF721	0.906475109110481	9.51631488312614	10.4401721986163	3.85309899911953e-24	4.25446347819448e-24	42.6345421088265
DUX4	0.526986750605243	7.75519937343186	8.94186848875657	2.20093080846965e-18	2.4051408834823e-18	29.5043191910987
MLL4	0.424393788184527	5.5013206272126	8.85184848572431	4.63195421632709e-18	5.01007292786399e-18	28.7686127303627
ZNF160	0.689750280977002	8.99920787856012	8.21663824007506	7.40732676363568e-16	7.93107714086244e-16	23.7563690496026
POGZ	0.498535921198278	5.5431924844223	6.90686047284715	9.46871420651777e-12	1.00368370589088e-11	14.4496523825611
HCLS1	0.49155815607853	8.39661248030429	5.21698532182817	2.26680436249473e-07	2.379022400242e-07	4.61310571897739
GTF2H3	0.330045111026459	7.55231156066026	4.96790199793191	8.12512574435379e-07	8.44375812648531e-07	3.37973356528678
MBTD1	0.174538527720197	4.74589475541618	4.5098252844554	7.36255972831981e-06	7.57700321555243e-06	1.26097367394985
PTTG1	0.380292356850285	9.51546947758471	3.76526234474104	0.000177377772112035	0.00018078888311419	-1.76342379982267
DUX1	-0.11575468995747	8.16663529369248	-2.60129013787639	0.00944267676809661	0.00953260702303087	-5.42861670654647
DIP2A	-0.0103705917038077	9.30710614439069	-0.23464128268793	0.814541520959769	0.814541520959769	-8.77459436484961
