ID	genesym	logFC	AveExpr	t	P.Value	adj.P.Val	B
1268	SLCO1A2	-2.34375362133097	5.31603089834497	-50.2855195071104	2.09046300703816e-261	2.96636700698715e-258	588.431528184798
684	FN1	4.12695861706238	12.075508973491	49.8100859613818	1.0350069074185e-258	7.34337400813425e-256	582.231715369778
1278	SPACA1	-1.53003451218118	4.92699958823353	-48.5402977696616	1.87075872449882e-251	8.84868876687943e-249	565.534639697127
128	211606_at	-1.9524254552785	5.60736908573445	-48.5098572176834	2.79937685361614e-251	9.93078938820327e-249	565.131892302151
1253	SLC30A10	-2.32525227831767	5.09545319095697	-48.4756916618763	4.40133625847795e-251	1.24909923015604e-248	564.67972339831
971	MSTP9	-1.73746355477109	5.37441879145318	-48.4299650562012	8.0668950475922e-251	1.90782067875556e-248	564.074320789887
78	HOXD1	-1.65042685414125	4.88848508961329	-48.3647438878212	1.91513665177612e-250	3.39697363608789e-248	563.2103675085
779	HOXD1	-1.65042685414125	4.88848508961329	-48.3647438878212	1.91513665177612e-250	3.39697363608789e-248	563.2103675085
1169	RBM26	-2.17551614284564	5.26780763534616	-48.1201686281872	4.92399536154432e-249	7.76349935336821e-247	559.965887038389
82	TBR1	-1.91985668146432	5.37054013210823	-48.0382961769776	1.46244383697124e-248	1.8865525496929e-246	558.878125408603
1324	TBR1	-1.91985668146432	5.37054013210823	-48.0382961769776	1.46244383697124e-248	1.8865525496929e-246	558.878125408603
734	GPR98	-2.07183771590042	5.36905689112014	-47.728061323504	9.11504802190829e-247	1.07785442859066e-244	554.748784835886
878	KLHL4	-2.20623426684554	5.28733348562152	-47.5355144493472	1.1918544288263e-245	1.30095494961887e-243	552.179919814285
895	LAMA4	-1.61297574494901	4.99896534255604	-47.4525713090148	3.61221250569448e-245	3.66123538970034e-243	551.071920762084
141	214645_at	-1.79848966691788	4.92651244034605	-47.2697792876001	4.17181116059881e-244	3.94653335792648e-242	548.627087425157
613	DLGAP2	-1.74635176272139	5.7690738356439	-47.1626662504889	1.75304067372704e-243	1.55472794751167e-241	547.192541165962
98	208098_at	-2.42988158542472	5.58859620662415	-47.0407935147798	8.99322644155723e-243	7.50669901209983e-241	545.558601834619
342	221144_at	-2.45499551445859	4.98041814186146	-46.8632504344873	9.76864990877316e-242	7.7009523447495e-240	543.175023945298
1142	PRSS7	-1.6664472876169	4.95746542440518	-46.1946304032049	8.05563379197886e-238	6.01628650043053e-236	534.163882420778
1286	SPINLW1	-2.67605021941758	5.65319872056844	-46.1701546077294	1.12178494633658e-237	7.95906419425807e-236	533.832980106675
154	215234_at	-2.0201910747822	5.80671577218728	-45.7148718889215	5.37930472597941e-235	3.63487305055466e-233	527.664469000803
1120	PPP1R3A	-1.76400416038169	5.23509979006012	-45.7011388951811	6.48274360000841e-235	4.18136962200542e-233	527.478013293171
1308	TAAR3	-2.12525131509934	5.64106304019971	-45.4184657888365	3.03313838441781e-233	1.87131450760386e-231	523.635035760094
804	IFNA5	-2.10153843956989	4.93727879239822	-45.3985230314588	3.97996375599675e-233	2.35315357073308e-231	523.363547053217
1204	SCN11A	-1.59180903750773	5.30960883260763	-45.0568261479515	4.21382997911252e-231	2.39176989614426e-229	518.70445570744
418	ARHGAP24	-1.7211105455416	5.94139494315167	-45.0127721616369	7.69432937322603e-231	4.19932822331067e-229	518.102752265923
232	216487_at	-1.65257911023928	5.53927444681549	-44.9104531785094	3.11817377438743e-230	1.63877355031695e-228	516.704350043833
